seed,draw_index,accepted_attempt_id,attempt,latent_ids,rank,matched_effect_E,full_effect_E,matched_R_span,attempt_sha256,draw_or_projector_hash,projector_hash,effect_result_hash,source_stage3_results_sha256,source_stage3_draws_sha256
20260806,0,1,1,"[784,1064,2619,2907,6863,11131,16664,17119,17701,17954,18821,22185]",12,1.175813851,4.542413891,0.2588522049,d3c4f7731e0e03c93a2a58cd0ef8bfd290110dc685c73a9736c3146dcd086be2,2dd4b632331b460d7e420c4be6c47ca39fa67014ddb547b93fb163ddbadc32e0,a2c85be6cface61d13aeba58ac0239f76c06ee6d6a42a9b7e6f0623cb85e9a2a,f28c3e4bfa4f3939bd74f1726a2fca44f60aeb402edcd8d8949f7b2207ef74d4,81a917da187a103a1e76d79ce86f672347d01110cd50c4a93a241302237671ac,fe3fa182dd20fda64c9cc9b04980e7c311d737dccaab8ad8e78d7ac07ab040dd
20260806,1,2,2,"[1064,2418,4546,5868,7263,8028,8617,11744,12325,12365,14388,21275]",12,0.6508094501,4.542413891,0.1432739213,864044b4f5e01b46c95cc442d09d051e0cecee9c7210ca021e557cf880cb40a6,26ba02ca1884f596379ea67a991db82c2341065df06ae70d5ef9ac0857c7daac,fb58b422816e71a5f7bc596276879796bd237461703d3712ab37a8b8ed71bc98,30fb8faea4d2df53d8552679cae09cdc7a301aa3671b0170f7dc7b108093cfb7,81a917da187a103a1e76d79ce86f672347d01110cd50c4a93a241302237671ac,fe3fa182dd20fda64c9cc9b04980e7c311d737dccaab8ad8e78d7ac07ab040dd
20260806,2,3,3,"[1064,2040,4546,5115,11414,12097,12289,13225,14388,15018,20311,22625]",12,0.434789923,4.542413891,0.09571781292,bf2336a73d1c5384c6a5028e51edbf3d79339da55daf03f70016bab897ec149c,d729f9829aa9c927eaf3b13c899389d04388fe30469368bf9a8d6ee6eaa19269,d079a2c9268e7e07a773f3c0e367c478c3209556b1ce1726139312697e676278,df133a8ce51749fbca9f2d82869ec6cb036e3eaf2cec27f121ba7c4321bf13d5,81a917da187a103a1e76d79ce86f672347d01110cd50c4a93a241302237671ac,fe3fa182dd20fda64c9cc9b04980e7c311d737dccaab8ad8e78d7ac07ab040dd
20260806,3,4,4,"[821,1064,2907,6846,7263,7698,10892,12423,14542,17119,17373,17954]",12,0.2492527962,4.542413891,0.05487232167,a0f6c38e7e0c9937d93bc7f3198efa6b19da01121ffa90a93517ba409a1f344c,6edc539ccb46b3f2e05b6482833d42be49b584c0bb7e255fa856424f14fa31ee,416c2fdb3ac371d20540ee0e66b56deb2bda774cc59e24c696dfca1dd50353b4,db481a4fb1f738b891efb459b24d43473f3bbfc4ff28579be48f75ad0106356c,81a917da187a103a1e76d79ce86f672347d01110cd50c4a93a241302237671ac,fe3fa182dd20fda64c9cc9b04980e7c311d737dccaab8ad8e78d7ac07ab040dd
20260806,4,5,5,"[5437,11952,12325,12494,13888,14388,14542,15096,16584,17270,20073,22625]",12,0.8680533568,4.542413891,0.1910995734,427d29fb0cd111489e6395ac56983672b73f154952811588dc307e5a13f5f220,8536e8ae1a5e5ae9895ae338d84df14a9b4dc36f4851736801be8bb911df28c9,c62f936b570f34133b246ee09a508254aaf20965a947ef34cdbe6146f9214fb3,2dc71508bc96a08af76a512e1a4a51af9f9ecdb1676f149085aa8e280b86e9a2,81a917da187a103a1e76d79ce86f672347d01110cd50c4a93a241302237671ac,fe3fa182dd20fda64c9cc9b04980e7c311d737dccaab8ad8e78d7ac07ab040dd
20260806,5,6,6,"[1334,4224,5115,7195,10892,13231,13344,20311,20929,23164,23245,23608]",12,0.6482530355,4.542413891,0.1427111336,c08bf29fd09ca7de00557882c66f334f4810a63cd7eca11cf692b01485a215b9,25d89cd5e80db5680f9d42a8ab58e1461b17a1ad268d374c9285f2eb932de860,17aef3ac83a52818e2011633d6285291d6b36bf39af7708bcbc54f1a414b9efc,f746775833bcd9e033d24dc5cb5049b309b6c2f83adfdae7e9048a59f7511462,81a917da187a103a1e76d79ce86f672347d01110cd50c4a93a241302237671ac,fe3fa182dd20fda64c9cc9b04980e7c311d737dccaab8ad8e78d7ac07ab040dd
20260806,6,7,7,"[1638,3015,3019,4546,6846,12423,12494,13390,14127,14388,22248,24297]",12,1.587053533,4.542413891,0.3493854965,6e7e2ca090299a74798d2dc2b6b928c4b7d2532cd475f9eb1c1368a942ac658a,5663b4c2327c881b1e6ce06db7a6015312c098f0d24e432c0c5b527535a2893a,500f486b848d4b0519470739f8c82be9fe35eb1ad3c50c5199dfc892d83829a8,21fa32823b0fcbe5d23d2c059e4dbf921e81e2e8bcbddd140ebe18e08cc6516e,81a917da187a103a1e76d79ce86f672347d01110cd50c4a93a241302237671ac,fe3fa182dd20fda64c9cc9b04980e7c311d737dccaab8ad8e78d7ac07ab040dd
20260806,7,8,8,"[3019,4083,6815,7195,8028,9450,9605,15707,16664,17119,20311,21566]",12,0.8553511127,4.542413891,0.1883032091,0fdc2e327911d2b17d69b8ea196a4d415fb1b56fb223447b544d24246c40a6e2,7fcdb6493e14af0147377cf91886da4c5c44307835fd84d9c562c79d311caca3,bdd7336293432fa9825aeff87435e508ca2ac7122d9da69b70e27336e77d83f8,4394165895e78bc0e1261259cb449fc9dd7da02952004720b62da63cf0d645fe,81a917da187a103a1e76d79ce86f672347d01110cd50c4a93a241302237671ac,fe3fa182dd20fda64c9cc9b04980e7c311d737dccaab8ad8e78d7ac07ab040dd
20260806,8,9,9,"[1334,1447,5868,6846,7698,7768,8028,8906,12289,15096,18061,20311]",12,0.2875088708,4.542413891,0.0632942919,419a2bdbc4f50f4df4a0ae725ea25cc87d88ba2fb4ccc32f2b1837e8f0a71be9,dd162d409649c2fe084cd684369832733a7cdebe29a803fdd778fd25ed6f66e1,7bb6d7e4c53da4374ad175f0dcd46a98da19f770006e253c95660e30bdf230c3,d7223657f5a4ccaaa7669024d0113cf3be79f29018f281442ad920ac01ca3e6e,81a917da187a103a1e76d79ce86f672347d01110cd50c4a93a241302237671ac,fe3fa182dd20fda64c9cc9b04980e7c311d737dccaab8ad8e78d7ac07ab040dd
20260806,9,10,10,"[5115,6589,7195,7768,8271,11740,11952,12494,15336,19959,21566,24201]",12,0.7293337949,4.542413891,0.1605608411,d26db59f1d8def62b3b2b509233217910e1f032a22fd9f944f020cea9353df13,be5a751cca602b73b0c001ca42f3fd9403e977decf482799e6f33c51b0440fcb,fd93fdde0c14ee4f73f328b782128b4c88aee07cdfe0ef3399595a7aeebb6c19,f5d15a340c6d82141311eef462c74693e5ac01edfb90b9eb2f22e089aaa220a6,81a917da187a103a1e76d79ce86f672347d01110cd50c4a93a241302237671ac,fe3fa182dd20fda64c9cc9b04980e7c311d737dccaab8ad8e78d7ac07ab040dd
